Název potraviny;Energie (kJ);Bílkoviny (g);SAFA (g);Tuky (g);Cukry (g);Sacharidy (g);Vláknina (g);Sůl (g);Náhrada (optional)
Jihočeská smetana zakysaná 18%;783;3.1;12;18;3.8;3.8;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Jihočeská zakysaná lehká 8%;479;3.1;6.3;9.5;4.4;4.4;0;0.1;Vhodnější alternativou je bílý polotučný jogurt, který obsahuje méně tuku.
Kunín selská zakysaná smetana 15%;660;2.9;9.3;15;3.3;3.3;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Kunín smetana 12%;560;2.8;7;12;4.2;4.2;0;0.1;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Kunín smetana ke šlehání 31%;1230;2.1;21.7;31;2.9;2.9;0;0.1;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Kunín šéfkuchař na vaření smetana 15%;700;2.7;10;15;5;5.5;0;0.1;Na vaření používejte raději smetanu s nižším obsahem tuku (10% nebo 12%) nebo ji ideálně nahraďte mlékem.
Kunín šéfkuchař zakysaná smetana 30%;1196;2.4;18.6;30;2.7;2.7;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Kunín šlehačka de luxe 40%;1550;1.9;23.5;40;2.3;2.3;0;0.1;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, která je stále energeticky velmi vydatná, proto raději šlehačku z pokrmů úplně vynechte. Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Kunín Šlehačka pařížská 27%;1300;2.5;19;27;14.2;15.2;0;0.1;Při redukční dietě šlehačku z pokrmu raději úplně vynechte.
Kunín zakysaná smetana de luxe 20%;840;2.7;12.4;20;3.2;3.2;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Kunín zakysaná smetana klasik 12%;562;3.1;7.5;12;3.8;3.8;0;0.1;Místo zakysané smetany použijte raději bílý jogurt.
Kunín zakysaná smetana krémovitá 15%;669;3;9.3;15;3.7;3.7;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Kunín zakysaná smetana ochucená;600;3;8.8;13;4;4;0;0.1;Vhodnější je ochutit polotučný či nízkotučný bílý jogurt.
Meggle Smetana ke šlehání 30%;1222;2.7;17;30;3.9;3.9;0;0.13;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Meggle Smetana na vaření 10%;498;3.2;5.9;10;4.3;4.3;0;0.1;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Meggle Zakysaná smetana 10%;500;3.1;5.7;10;4.2;4.2;0;0.1;Místo zakysané smetany použijte raději bílý jogurt.
Meggle Zakysaná smetana 14%;640;2.9;9.1;14;4.1;4.1;0;0.13;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Milko smetana ke šlehání 33%;1306;2.2;22.3;33;2.8;2.8;0;0.1;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, která je stále energeticky velmi vydatná, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Milko zakysaná smetana Bio 15%;672;2.9;10.1;15;4;4;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Olma kysaná smetana pochoutková 16%;720;3.1;9.8;16.3;3.8;3.8;0;0.09;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Olma Smetana 12%;563;2.8;7.2;12;4.2;4.2;0;0.9;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Olma Smetana ke šlehání 33%;1306;2.2;19.8;33;2.8;2.8;0;0.07;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, která je stále energeticky velmi vydatná, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Olma Smetana na vaření trvanlivá 10%;492;3;6;10;4.2;4.2;0;0;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Pilos Čersvtá smetana 12%;563;2.8;7;12;4.2;4.2;0;0.1;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Pilos Čerstvá smetana ke šlehání 33%;1306;2.2;19.5;33;2.8;2.8;0;0.1;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, která je stále energeticky velmi vydatná, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Pilos Cream smetana ke šlehání 30%;1207;2.5;20;30;3.2;3.2;0;0.1;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, která je stále energeticky velmi vydatná, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Pilos Zakysaná smetana 14%;640;2.9;9.1;14;4.1;4.1;0;0.13;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Pilos Kysaná smetana pochoutková 16%;713;2.9;10.5;16.1;2.4;4;0;0.13;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Pilos Zakysaná smetana 18%;773;2.4;11.7;18;3.9;3.9;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Rama Cremefine na vaření;660;2;5;15.2;2.5;4;0;0.1;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Tesco Dairy cream šlehačka ve spreji;1001;2.7;10;18;9.6;17;0;0.1;Při redukční dietě šlehačku z pokrmu raději úplně vynechte.
Tesco Smetana 10%;495;3.1;6.6;10;4.3;4.3;0;0.1;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Tesco Smetana do kávy;494;3.1;5.7;10;4.2;4.2;0;0.1;Pokud smetanu používáte do kávy, jedná se pouze o malé množství, můžete ji proto výjimečně použít. Vhodnější alternativou je však mléko.
Tesco Trvanlivá smetana ke šlehání 30%;1200;2.4;19.8;30;2.9;2.9;0;0.2;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, která je stále energeticky velmi vydatná, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Tesco Value Smetana do kávy;504;3.2;6.6;10;4.7;4.7;0;0.1;Pokud smetanu používáte do kávy, jedná se pouze o malé množství, můžete ji proto výjimečně použít. Vhodnější alternativou je však mléko.
Tesco Value Smetana 12%;560;3;7.6;12;3.8;3.8;0;0.1;Vhodnější alternativou je mléko, které obsahuje méně tuku a má nižší energetickou hodnotu.
Tesco Value Smetana ke šlehání 33%;1330;2.2;19.5;33;2.8;2.8;0;0.1;Pokud používáte smetanu při vaření (například do omáček), nahraďte ji raději smetanou s nižším obsahem tuku nebo mlékem. Pro přípravu šlehačky je potřeba smetana s minimálně 30 % tuku, která je stále energeticky velmi vydatná, proto raději šlehačku z pokrmů úplně vynechte.  Můžete také využít šlehačku z rostlinného tuku Rama Cremefine, která obsahuje méně tuku a jedná se o tuk s lepším složením.
Tesco Value Šlehačka ve spreji;998;3;19;20;11;12;0.4;0.1;Vhodnější složení mají šlehačky ze smetany, mají však vysoké množství tuku a energetickou hodnotu, při redukční dietě proto šlehačku raději úplně vynechte.
Tesco Value Zakysaná smetana 10%;494;3.1;5.7;10;4.2;4.2;0;0.1;Místo zakysané smetany použijte raději bílý jogurt.
Tesco Zakysaná smetana 15 %;684;2.9;9.9;15;3.4;4.7;0;0.1;Místo zakysané smetany použijte raději bílý jogurt, občas můžete také použít zakysanou smetanu s nižším obsahem tuku.
Yoplait Zakysaný lehký mléčný výrobek 8%;480;3.8;5.2;7.7;5.1;7.6;0;0.1;Místo zakysané smetany použijte raději polotučný nebo nízkotučný bílý jogurt.
Jogurtový nápoj bílý;190;3.4;1;1.5;4.5;4.5;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným kefírem, podmáslím, acidofilním mlékem apod.
Jogurtový nápoj ochucený;290;2.8;0.9;1.5;10.5;10.8;0.5;0.1;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Mléko acidofilní 1,5 % tuku;170;3;1;1.5;2.6;2.6;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným kefírem, zákysem apod.
Mléko kefírové 1,5 % tuku;170;3;1;1.5;2.6;2.6;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným zákysem, acidofilním mlékem apod.
Mléko kefírové s příchutí průměr;300;2.8;0.9;1.3;12;12;0.1;0.1;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je acidofilní mléko, zákys apod.
Podmáslí kysané 0,5 % tuku;150;3.3;0.5;0.8;4;4;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným kefírem, zákysem, acidofilním mlékem apod.
Podmáslí kysané 1 % tuku;180;4;0.7;1;4;4;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným kefírem, zákysem, acidofilním mlékem apod.
Acidofilní mléko cereálie (z Valašska);371;2.9;2.1;3.1;11.3;12.2;0.1;0.1;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, zákys apod.
Acidofilní mléko jahoda a malina (z Valašska);371;2.9;2.1;3.1;11.3;12.2;0.1;0.1;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, zákys apod.
Acidofilní mléko plnotučné (z Valašska);259;3.3;2.4;3.7;3.9;3.9;0.1;0.1;Při redukční dietě jsou vhodnější výrobky s nižším obsahem tuku, například neochucený kefír, zákys, acidofilní mléko s nižším obsahem tuku a další kysané nápoje bez přidaného cukru.
Actimel original bílý;300;2.8;1.1;1.6;11;10.5;0.1;0.11;Pokud chcete vypít kysaného nápoje větší množství, volte raději výrobky bez přidaného cukru, například neochucený kefír, zákys, acidofilní mléko apod.
Actimel jahoda, jahoda & banán, lesní ovoce;320;2.7;1;1.5;11.8;11.8;0.1;0.11;Pokud chcete vypít kysaného nápoje větší množství, volte raději výrobky bez přidaného cukru, například neochucený kefír, zákys, acidofilní mléko apod.
Actimel vanilka;338;2.7;1;1.5;12.9;13.1;0.1;0.11;Pokud chcete vypít kysaného nápoje větší množství, volte raději výrobky bez přidaného cukru, například neochucený kefír, zákys, acidofilní mléko apod.
Activia bílá nápoj;155;3;0.7;0.9;3.9;3.9;0.1;0.05;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným kefírem, zákysem, acidofilním mlékem apod.
Activia nápoj ochucený průměr;300;2.8;0.9;1.5;11;11;0.5;0.12;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Activia nápoj ananas & mandarinka;289;2.9;1;1.5;11;11;0.5;0.12;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Activia nápoj broskev & mango;290;2.8;0.9;1.5;10.5;10.8;0.5;0.12;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Activia nápoj jahoda;391;3.6;1.7;2.7;13.1;13.5;0.5;0.15;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Activia nápoj jahoda & kiwi;291;3;0.5;0.9;11.7;11.9;0.5;0.12;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Activia nápoj lesní plody;279;3;0.5;0.9;10.9;11.1;0.6;0.15;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Activia nápoj malina;307;2.8;0.9;1.5;11.6;11.8;0.5;0.12;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Basic acidofilní mléko;171;3.3;1.2;1.5;3.3;3.5;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným kefírem, zákysem, kyškou apod.
Basic Jogurtový nápoj jahoda;297;2.7;0.5;0.8;13;13;0.1;0.1;Vhodnější jsou výrobky, které neobsahují žádný přidaný cukr, jedná se především o neochucené nápoje, jako je kefír, acidofilní mléko, zákys apod. Občas můžete také konzumovat kysané nápoje se sladidly, například jogurtový nápoj Jogobella light.
Basic kefírové mléko;170;3.3;0.8;1.2;4.1;4.1;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným zákysem, acidofilním mlékem apod.
Basic podmáslí kysané;171;3.3;0.6;1;4.6;4.6;0.1;0.1;Tento výrobek můžete pravidelně zařazovat do jídelníčku, nahradit ho můžete jinými kysanými nápoji bez přidaného cukru, například neochuceným kefírem, zákysem, acidofilním mlékem apod.
